               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090908,            0.027357,                   0,             0.36432,             0.42221,             0.31782,            0.084756,            0.059636,            0.012668,                   0,           0.0032941,           0.0032941,            0.070353
                   1,            0.064931,            0.021151,                   0,             0.52032,             0.65229,             0.54425,              0.1803,            0.045327,            0.010686,                   0,           0.0059713,           0.0059713,            0.039697
                   2,            0.055151,            0.018684,                   0,             0.59384,             0.72955,             0.56563,             0.20964,            0.039738,           0.0087325,                   0,           0.0079885,           0.0079885,           0.0083807
                   3,            0.049543,            0.017719,                   0,             0.84376,             0.77037,             0.83319,              0.3203,            0.038746,            0.008302,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.045615,            0.017342,                   0,             0.90587,             0.88781,             0.93069,             0.47918,            0.031451,           0.0075484,                   0,             0.00703,             0.00703,             0.00703
                   5,             0.04195,            0.016891,                   0,             0.88036,             0.82255,             0.88622,             0.41939,            0.032785,           0.0079228,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.039282,            0.015869,                   0,             0.94834,             0.92708,              0.9586,             0.54794,            0.026015,           0.0069147,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.036902,            0.015612,                   0,             0.91821,             0.86936,             0.93169,             0.50888,            0.027402,           0.0072523,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.036175,            0.014798,                   0,             0.96603,              0.9575,              0.9734,             0.60497,            0.023559,           0.0061116,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.032887,            0.015198,                   0,              0.9583,             0.95939,             0.97707,             0.63975,            0.022541,           0.0060866,                   0,             0.00208,             0.00208,             0.00208
